seed,run_id,source,hop_category
2,2,main,3
5,5,main,3
7,1,main,3
8,1000008,rerun,2
10,4,main,3
12,9,main,3
13,15,main,3
16,8,main,3
18,1000018,rerun,2
26,3,main,3
27,6,main,3
30,1000030,rerun,2
32,11,main,3
34,1000034,rerun,2
36,14,main,3
42,18,main,3
45,13,main,3
50,19,main,3
51,16,main,3
53,1000053,rerun,2
55,17,main,3
56,12,main,3
58,10,main,3
59,20,main,3
60,21,main,3
61,1000061,rerun,2
66,1000066,rerun,2
68,1000068,rerun,2
69,24,main,3
70,1000070,rerun,2
75,23,main,3
83,27,main,3
84,25,main,3
88,22,main,3
90,30,main,3
91,28,main,3
99,29,main,3
102,35,main,3
103,31,main,3
107,38,main,3
108,33,main,3
110,1000110,rerun,2
111,32,main,3
114,34,main,3
115,39,main,3
116,36,main,3
118,41,main,3
120,37,main,3
121,40,main,3
127,1000127,rerun,2
129,43,main,3
132,42,main,3
134,1000134,rerun,2
136,1000136,rerun,2
142,49,main,3
143,50,main,3
144,44,main,3
148,1000148,rerun,2
162,46,main,3
166,1000166,rerun,2
167,47,main,3
168,55,main,3
170,48,main,3
171,51,main,3
173,45,main,3
181,53,main,3
187,52,main,3
188,54,main,3
189,59,main,3
198,56,main,3
200,58,main,3
201,64,main,3
207,62,main,3
209,61,main,3
211,57,main,3
212,65,main,3
216,63,main,3
219,66,main,3
220,1000220,rerun,2
221,71,main,3
222,68,main,3
224,69,main,3
225,67,main,3
227,70,main,3
231,76,main,3
233,72,main,3
234,73,main,3
237,81,main,3
240,75,main,3
241,84,main,3
246,78,main,3
248,82,main,3
251,80,main,3
252,77,main,3
253,74,main,3
254,79,main,3
256,1000256,rerun,2
258,83,main,3
262,85,main,3
266,86,main,3
267,87,main,3
272,1000272,rerun,2
273,92,main,3
274,1000274,rerun,2
276,91,main,3
278,89,main,3
286,90,main,3
290,97,main,3
291,93,main,3
292,1000292,rerun,2
294,94,main,3
296,95,main,3
301,1000301,rerun,2
304,98,main,3
307,96,main,3
308,99,main,3
309,100,main,3
310,101,main,3
316,102,main,3
323,1000323,rerun,2
327,1000327,rerun,2
330,104,main,3
335,106,main,3
336,105,main,3
339,1000339,rerun,2
345,108,main,3
346,112,main,3
348,1000348,rerun,2
355,110,main,3
360,1000360,rerun,2
362,113,main,3
365,114,main,3
368,1000368,rerun,2
370,116,main,3
372,120,main,3
373,118,main,3
374,119,main,3
378,121,main,3
379,122,main,3
380,123,main,3
383,124,main,3
385,1000385,rerun,2
388,1000388,rerun,2
391,1000391,rerun,2
392,126,main,3
393,1000393,rerun,2
394,125,main,3
403,128,main,3
405,130,main,3
409,1000409,rerun,2
410,131,main,3
411,129,main,3
412,140,main,3
413,127,main,3
414,135,main,3
415,133,main,3
416,132,main,3
